Seized Property Inventory Valued Over One Million Dollars,,,,,,,,
Fiscal Year 2015,,,,,,,,
,,,,,,,,
Aircraft,,,,,,,,
Location,Description,Equity,,,,,,
"Milwaukee, WI           ",US Currency,"$2,206,398 ",,,,,,
"New York, NY           ",US Currency,"$2,226,521 ",,,,,,
"Montauk, NY             ",US Currency,"$2,258,926 ",,,,,,
"East Elmhurst, NY       ",US Currency,"$2,329,558 ",,,,,,
"Wan Chai, Hong Kong            ",US Currency,"$2,350,843 ",,,,,,
"Red Bank, NJ            ",US Currency,"$2,380,091 ",,,,,,
"Central Islip, NY       ",US Currency,"$2,500,000 ",,,,,,
"San Juan, PR            ",US Currency,"$2,563,023 ",,,,,,
"Washington, DC          ",US Currency,"$2,601,286 ",,,,,,
"Chicago, IL            ",US Currency,"$2,653,806 ",,,,,,
"Los Angeles, CA         ",US Currency,"$2,670,744 ",,,,,,
"Bakersfield, CA         ",US Currency,"$2,676,000 ",,,,,,
"Orlando, FL             ",US Currency,"$2,698,748 ",,,,,,
"Jerusalem, Israel           ",US Currency,"$2,779,972 ",,,,,,
"New York, NY            ",US Currency,"$2,818,035 ",,,,,,
"Hazleton, PA            ",US Currency,"$2,901,267 ",,,,,,
"Long Island City, NY    ",US Currency,"$2,960,933 ",,,,,,
"New York, NY            ",US Currency,"$3,029,712 ",,,,,,
"Detroit, MI             ",US Currency,"$3,049,304 ",,,,,,
"New York, NY            ",US Currency,"$3,055,108 ",,,,,,
"New York, NY",US Currency,"$3,095,010 ",,,,,,
"New York, NY            ",US Currency,"$3,320,043 ",,,,,,
"Washington, DC          ",US Currency,"$3,350,000 ",,,,,,
"Omaha, NE               ",US Currency,"$3,486,025 ",,,,,,
"Chicago, IL             ",US Currency,"$3,570,364 ",,,,,,
"New York, NY            ",US Currency,"$3,611,748 ",,,,,,
"New York, NY            ",US Currency,"$3,635,363 ",,,,,,
"Mansfield, TX           ",US Currency,"$3,821,004 ",,,,,,
"Knoxville, TN           ",US Currency,"$3,833,637 ",,,,,,
"New York, NY            ",US Currency,"$3,850,626 ",,,,,,
"New York, NY            ",US Currency,"$4,051,529 ",,,,,,
"Los Angeles, CA         ",US Currency,"$4,251,097 ",,,,,,
"New York, NY            ",US Currency,"$4,269,172 ",,,,,,
"Boston, MA              ",US Currency,"$4,273,683 ",,,,,,
"New York, NY            ",US Currency,"$4,322,368 ",,,,,,
"New York, NY            ",US Currency,"$4,455,274 ",,,,,,
"Los Angeles, CA         ",US Currency,"$4,605,032 ",,,,,,
"New Albany, IN          ",US Currency,"$4,752,721 ",,,,,,
"San Jose, CA            ",US Currency,"$4,934,463 ",,,,,,
"New York, NY            ",US Currency,"$5,000,000 ",,,,,,
