Seized Property Inventory Valued Over One Million Dollars,,,,,,,
Fiscal Year 2016,,,,,,,
Aircraft,,,,,,,
Location,Description,Equity,,,,,
"Chicago, IL             ",US Currency,"$2,682,470 ",,,,,
"Omaha, NY               ",US Currency,"$2,689,160 ",,,,,
"Orlando, FL             ",US Currency,"$2,698,748 ",,,,,
"Jerusalem, Israel           ",US Currency,"$2,779,972 ",,,,,
"Omaha, NE              ",US Currency,"$2,780,018 ",,,,,
"San Francisco, CA       ",US Currency,"$2,800,000 ",,,,,
"New York, NY            ",US Currency,"$2,818,035 ",,,,,
"Hazleton, PA            ",US Currency,"$2,901,267 ",,,,,
"Hattiesburg, MS         ",US Currency,"$2,953,436 ",,,,,
"Long Island City, NY    ",US Currency,"$2,960,933 ",,,,,
"Washington, DC          ",US Currency,"$2,999,931 ",,,,,
"Riverside, CA           ",US Currency,"$3,009,735 ",,,,,
"New York, NY            ",US Currency,"$3,029,712 ",,,,,
"New York, NY            ",US Currency,"$3,055,108 ",,,,,
"Los Angeles, CA         ",US Currency,"$3,168,400 ",,,,,
"New York, NY            ",US Currency,"$3,320,043 ",,,,,
"Washington, DC          ",US Currency,"$3,350,000 ",,,,,
"Mansfield, TX           ",US Currency,"$3,821,004 ",,,,,
"Knoxville, TN           ",US Currency,"$3,833,637 ",,,,,
"New York, NY            ",US Currency,"$3,850,626 ",,,,,
"Miramar, FL             ",US Currency,"$3,968,349 ",,,,,
"New York, NY            ",US Currency,"$4,051,529 ",,,,,
"Hamden, CT              ",US Currency,"$4,096,229 ",,,,,
"Hamden, CT              ",US Currency,"$4,240,254 ",,,,,
"Los Angeles, CA         ",US Currency,"$4,251,097 ",,,,,
"New York, NY            ",US Currency,"$4,269,172 ",,,,,
"New York, NY            ",US Currency,"$4,455,274 ",,,,,
"Miami, FL               ",US Currency,"$4,676,224 ",,,,,
"Hattiesburg, MS         ",US Currency,"$4,794,772 ",,,,,
"San Jose, CA            ",US Currency,"$4,934,463 ",,,,,
"Boca Raton, FL          ",US Currency,"$4,950,000 ",,,,,
"New York, NY            ",US Currency,"$5,000,000 ",,,,,
"Tel-Aviv, Israel            ",US Currency,"$5,071,390 ",,,,,
"Jacksonville, FL        ",US Currency,"$5,177,315 ",,,,,
"Hattiesburg, MS         ",US Currency,"$5,404,498 ",,,,,
"Four Oaks, NC           ",US Currency,"$6,062,116 ",,,,,
"New York, NY            ",US Currency,"$6,087,669 ",,,,,
"Bloomington, CA         ",US Currency,"$6,171,445 ",,,,,
"Saint Peter Port, Guernsey ",US Currency,"$8,000,000 ",,,,,
"New York, NY            ",US Currency,"$8,168,169 ",,,,,
"Saint Louis, MO",US Currency,"$8,462,621 ",,,,,
"La Habra, CA            ",US Currency,"$8,488,674 ",,,,,
"New York, NY            ",US Currency,"$9,114,342 ",,,,,
"Washington, DC          ",US Currency,"$10,999,805 ",,,,,
"Chicago, IL             ",US Currency,"$11,492,058 ",,,,,
"Jacksonville, FL        ",US Currency,"$12,987,313 ",,,,,
"New York, NY            ",US Currency,"$15,130,889 ",,,,,
"New York, NY            ",US Currency,"$16,341,959 ",,,,,
"Highland Park, IL       ",US Currency,"$18,516,069 ",,,,,
"New York, NY            ",US Currency,"$22,300,432 ",,,,,
"San Francisco, CA       ",US Currency,"$24,119,058 ",,,,,
"San Francisco, CA       ",US Currency,"$24,119,058 ",,,,,
Financial Instrument,,,,,,,
Location,Description,Equity,,,,,
"Los Angeles, CA         ",Financial Instrument - Financial Account,"$1,046,785 ",,,,,
"Maryland Heights, MO    ",Financial Instrument - Financial Account,"$1,079,234 ",,,,,
"Maryland Heights, MO    ",Financial Instrument - Financial Account,"$1,315,150 ",,,,,
"New York, NY            ",Financial Instrument - Financial Account,"$1,488,337 ",,,,,
"New York City, NY       ",Financial Instrument - Financial Account,"$1,499,056 ",,,,,
"Greensboro, NC          ",Financial Instrument - Insurance Account,"$1,631,207 ",,,,,
"Fort Worth, TX          ",Financial Instrument - Financial Account,"$1,815,847 ",,,,,
"Douglas, PA             ",Financial Instrument - Financial Account,"$1,949,641 ",,,,,
"New York, NY            ",Financial Instrument - Financial Account,"$4,322,237 ",,,,,
"New York, NY         ",Financial Instrument - Financial Account,"$4,481,452 ",,,,,
"Los Angeles, CA         ",Financial Instrument - Financial Account,"$5,132,218 ",,,,,
"Jacksonville, FL        ",Financial Instrument - Financial Account,"$5,634,451 ",,,,,
"New York, NY            ",Financial Instrument - Financial Account,"$17,414,239 ",,,,,
"Jacksonville, FL        ",Financial Instrument - Financial Account,"$109,646,565 ",,,,,
Jewelry/Precious Item  ,,,,,,,
Location,Description,Equity,,,,,
"Coeur d'Alene, ID       ","Silver Coins, Bars  and Scrap Metal","$2,835,507 ",,,,,
"Latrobe, PA             ",Miscellaneous Jewelry,"$5,128,642 ",,,,,
Other               ,,,,,,,
Location,Description,Equity,,,,,
"Laredo, TX              ",Assorted Fragrances,"$1,171,448 ",,,,,
Real Property       ,,,,,,,
Location,Description,Equity,,,,,
"Chelsea, AL             ",Real Property,"$1,000,000 ",,,,,
"Miami, FL               ",Real Property,"$2,130,300 ",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
